Session: 320,Game:,Wingman,User:,Survivor3
Game No.:,0
Day:,15,Month:,Feb,Year:,2017
Track:,Forest,Speed:,fast,Time:,30 (sec),
Target Angle:,42,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,64.742,False
2,0,53.798,True
3,9,40.221,True
4,8,39.987,True
5,0,29.126,True
6,0,26.487,False
7,0,19.157,True
8,0,69.842,True
9,1,51.008,True
10,6,37.004,True
11,3,34.494,True
12,0,24.061,True
13,0,22.154,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
0.019,-0.004 | 6.663 | 0.034,0.055 | 6.508 | 0.077,0.045 | 6.474 | 0.056,0.239 | 6.602 | -0.032,-0.175 | 6.542 | 0.016,15.642,27.047,2017-02-15 11:44:10,6,316
0.019,-0.003 | 6.663 | 0.034,0.057 | 6.507 | 0.066,0.044 | 6.470 | 0.056,0.244 | 6.606 | -0.032,-0.174 | 6.542 | 0.015,15.914,28.307,2017-02-15 11:44:10,6,316
0.020,-0.002 | 6.662 | 0.034,0.075 | 6.518 | 0.119,0.043 | 6.468 | 0.056,0.237 | 6.600 | -0.027,-0.174 | 6.542 | 0.015,16.167,25.813,2017-02-15 11:44:10,6,316
0.020,-0.005 | 6.662 | 0.034,0.030 | 6.515 | 0.110,0.028 | 6.491 | 0.067,0.205 | 6.586 | -0.028,-0.192 | 6.544 | 0.014,20.219,17.240,2017-02-15 11:44:10,6,316
0.020,-0.007 | 6.662 | 0.035,-0.026 | 6.527 | 0.095,-0.025 | 6.486 | 0.092,0.171 | 6.571 | -0.022,-0.228 | 6.561 | 0.003,27.400,9.960,2017-02-15 11:44:11,6,316
0.020,-0.007 | 6.662 | 0.035,-0.038 | 6.526 | 0.088,-0.027 | 6.488 | 0.069,0.166 | 6.565 | -0.018,-0.233 | 6.569 | -0.003,27.143,10.127,2017-02-15 11:44:11,6,316
0.021,-0.007 | 6.662 | 0.035,0.011 | 6.490 | 0.090,-0.001 | 6.476 | 0.045,0.194 | 6.572 | -0.028,-0.213 | 6.562 | 0.001,20.737,18.615,2017-02-15 11:44:11,6,316
0.021,-0.007 | 6.662 | 0.035,0.050 | 6.500 | 0.089,0.030 | 6.481 | 0.036,0.225 | 6.588 | -0.037,-0.191 | 6.551 | 0.015,15.074,27.394,2017-02-15 11:44:11,6,316
0.022,-0.007 | 6.662 | 0.036,0.060 | 6.504 | 0.093,0.037 | 6.472 | 0.037,0.232 | 6.593 | -0.036,-0.184 | 6.546 | 0.021,14.241,28.558,2017-02-15 11:44:11,6,316
0.022,-0.006 | 6.662 | 0.035,0.052 | 6.506 | 0.088,0.036 | 6.462 | 0.037,0.231 | 6.592 | -0.033,-0.182 | 6.544 | 0.019,14.693,27.332,2017-02-15 11:44:12,6,316
0.022,-0.005 | 6.662 | 0.035,0.048 | 6.506 | 0.087,0.035 | 6.459 | 0.037,0.230 | 6.591 | -0.031,-0.181 | 6.544 | 0.018,14.943,26.487,2017-02-15 11:44:12,6,316
0.022,-0.005 | 6.662 | 0.036,0.041 | 6.505 | 0.086,0.034 | 6.457 | 0.037,0.226 | 6.589 | -0.028,-0.181 | 6.544 | 0.017,15.116,25.064,2017-02-15 11:44:12,7,316
0.022,-0.005 | 6.662 | 0.036,0.041 | 6.502 | 0.093,0.034 | 6.456 | 0.037,0.223 | 6.587 | -0.026,-0.181 | 6.544 | 0.017,15.216,23.944,2017-02-15 11:44:12,7,316
0.022,-0.006 | 6.662 | 0.036,0.034 | 6.501 | 0.102,0.024 | 6.490 | 0.084,0.203 | 6.582 | -0.036,-0.192 | 6.546 | 0.016,17.691,19.085,2017-02-15 11:44:12,7,316
0.022,-0.008 | 6.662 | 0.036,-0.015 | 6.518 | 0.111,-0.020 | 6.491 | 0.107,0.162 | 6.567 | -0.033,-0.219 | 6.558 | 0.006,23.716,8.916,2017-02-15 11:44:13,7,316
0.024,-0.007 | 6.661 | 0.038,-0.025 | 6.516 | 0.116,-0.024 | 6.497 | 0.099,0.155 | 6.562 | -0.025,-0.223 | 6.565 | 0.000,23.768,7.778,2017-02-15 11:44:13,7,316
0.024,-0.007 | 6.661 | 0.038,0.019 | 6.486 | 0.109,0.005 | 6.523 | 0.083,0.188 | 6.570 | -0.028,-0.210 | 6.561 | 0.001,19.752,16.884,2017-02-15 11:44:13,7,316
0.024,-0.007 | 6.661 | 0.038,0.062 | 6.484 | 0.107,0.033 | 6.534 | 0.084,0.221 | 6.586 | -0.030,-0.188 | 6.550 | 0.012,14.649,25.611,2017-02-15 11:44:13,7,316
0.023,-0.007 | 6.662 | 0.037,0.038 | 6.507 | 0.093,0.043 | 6.521 | 0.084,0.220 | 6.587 | -0.029,-0.178 | 6.545 | 0.015,13.556,23.926,2017-02-15 11:44:13,7,316
